file	ecosia_markers	added_lines	removed_lines	status
firefox-ios/firefox-ios-tests/Tests/ClientTests/Library/Bookmarks/BookmarkPanelViewModelTests.swift	3	42	191	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Library/Bookmarks/DefaultBookmarksSaverTests.swift	2	27	122	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Library/DownloadsPanelViewModelTests.swift	3	67	58	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Library/HistoryPanelViewModelTests.swift	2	12	4	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Messaging/GleanPlumbMessageManagerTests.swift	4	40	59	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Microsurvey/MicrosurveySurfaceManagerTests.swift	4	28	12	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Mocks/MockBrowserViewController.swift	2	27	44	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Mocks/MockCreditCardProvider.swift	NA	NA	NA	NO_BASELINE_AT_147.1
firefox-ios/firefox-ios-tests/Tests/ClientTests/Mocks/MockLaunchScreenManager.swift	1	2	39	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Mocks/MockProfile.swift	3	61	51	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Mocks/MockSettingsDelegate.swift	1	2	0	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Mocks/MockSettingsFlowDelegate.swift	1	12	14	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Mocks/MockTabManager.swift	2	67	31	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Mocks/MockWebKit.swift	2	47	66	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/OnboardingTests/NimbusOnboardingFeatureLayerTests.swift	1	11	8	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/OnboardingTests/NimbusOnboardingKitFeatureLayerTests.swift	4	12	4	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/OnboardingTests/UpdateViewModelTests.swift	1	13	22	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/OverlayModeManagerTests.swift	4	15	18	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/PasswordManagerViewModelTests.swift	2	19	15	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/ProfileTest.swift	NA	NA	NA	NO_BASELINE_AT_147.1
firefox-ios/firefox-ios-tests/Tests/ClientTests/Settings/SummarizeSettingsViewControllerTests.swift	1	8	1	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Settings/ThemeSettingsControllerTests.swift	1	19	11	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Settings/VersionSettingTests.swift	1	9	5	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Sharing/ShareManagerTests.swift	6	23	3	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Sharing/URLActivityItemProviderTests.swift	2	9	0	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/StartAtHome/StartAtHomeMiddlewareTests.swift	1	6	1	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Toolbar/NavigationBarStateTests.swift	5	27	3	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Utils/DefaultBackgroundTabLoaderTests.swift	1	10	19	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Utils/StoreTestUtility.swift	2	34	17	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Wallpaper/WallpaperCodableTests.swift	NA	NA	NA	NO_BASELINE_AT_147.1
firefox-ios/firefox-ios-tests/Tests/ClientTests/Wallpaper/WallpaperSettingsViewModelTests.swift	6	103	37	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/XCTestCaseExtensions.swift	1	30	76	OK
firefox-ios/firefox-ios-tests/Tests/SharedTests/UserAgentTests.swift	7	87	2	OK
firefox-ios/firefox-ios-tests/Tests/SyncTelemetryTests/FxALoginRegistrationTelemetryTests.swift	1	14	64	OK
